course_name,city,state_region,country,world_rank,us_rank,state_rank,scopes,on_trip_route,lat,lon,udisc_url,year
BC3 Disc Golf Course,Nashville,Indiana,USA,92,64,1,us;world;state:Indiana,True,39.207242,-86.246947,,2026
Beal Slough Disc Golf Course,Lincoln,Nebraska,USA,73,48,1,us;world;state:Nebraska,True,40.808886,-96.707775,,2026
Beaver Ranch Disc Golf Course,Conifer,Colorado,USA,32,18,1,us;world;state:Colorado,True,39.506435,-105.294097,,2026
Championship Course at Eagles Crossing,New Truxton,Missouri,USA,9,4,1,us;world;state:Missouri,True,38.978376,-91.23793,,2026
Clauder's Bogey Barn,Paola,Kansas,USA,70,47,1,us;world;state:Kansas,True,38.572332,-94.878648,,2026
Flip City Disc Golf Park,Shelby,Michigan,USA,35,20,1,us;world;state:Michigan,True,43.608619,-86.363963,,2026
The Canyons at Dellwood Park,Lockport,Illinois,USA,19,9,1,us;world;state:Illinois,True,41.589475,-88.057837,,2026
Wildcat Bluff,Vinton,Iowa,USA,46,28,1,us;world;state:Iowa,True,42.167913,-92.02395,,2026
Black Hoof Driven by Henderson Engineers,Lenexa,Kansas,USA,,87,2,us;state:Kansas,True,38.969746,-94.784584,,2026
Boylan Acres: Arduous,Monrovia,Indiana,USA,98,69,2,us;world;state:Indiana,True,39.578936,-86.482219,,2026
BuckSnort,Pine,Colorado,USA,47,29,2,us;world;state:Colorado,True,39.386656,-105.270271,,2026
Harmony Bends,Columbia,Missouri,USA,25,12,2,us;world;state:Missouri,True,38.951883,-92.333737,,2026
Kensington Toboggan,Milford Charter Township,Michigan,USA,63,40,2,us;world;state:Michigan,True,42.540607,-83.644784,,2026
Lighthouse DGC,Omaha,Nebraska,USA,,,2,state:Nebraska,True,41.258746,-95.938376,,2026
Northwood Park: Black,Morton,Illinois,USA,29,15,2,us;world;state:Illinois,True,40.612735,-89.459323,,2026
Pickard Park,Indianola,Iowa,USA,99,70,2,us;world;state:Iowa,True,41.354025,-93.525249,,2026
Bear Mountain,Bailey,Colorado,USA,68,45,3,us;world;state:Colorado,True,39.406466,-105.471701,,2026
Boylan Acres: Extreme,Monrovia,Indiana,USA,,93,3,us;state:Indiana,True,39.578936,-86.482219,,2026
Fairfield Park,Round Lake,Illinois,USA,,,3,state:Illinois,True,42.354994,-88.116635,,2026
Kelley Park,McCook,Nebraska,USA,,,3,state:Nebraska,True,40.210735,-100.621169,,2026
Knockwood: Santa Fe Lake,Augusta,Kansas,USA,,92,3,us;state:Kansas,True,37.680917,-96.977118,,2026
Renegade's Trail,Delhi Charter Township,Michigan,USA,69,46,3,us;world;state:Michigan,True,42.640318,-84.54301,,2026
Shaver Park,Cedar Rapids,Iowa,USA,,,3,state:Iowa,True,42.003477,-91.675241,,2026
Wild Times at Eagles Crossing,Hawk Point,Missouri,USA,52,34,3,us;world;state:Missouri,True,38.970878,-91.131258,,2026
Arvesta Sport Complex,South Haven,Michigan,USA,78,52,4,us;world;state:Michigan,True,42.403087,-86.273641,,2026
Coralville Disc Golf Altmaier Park,Coralville,Iowa,USA,,,4,state:Iowa,True,41.675998,-91.580705,,2026
New Melle Lakes,Wentzville,Missouri,USA,,82,4,us;state:Missouri,True,38.824414,-90.868312,,2026
Northwood Park: Blue,Morton,Illinois,USA,,,4,state:Illinois,True,40.612735,-89.459323,,2026
Rogers Lakewood Park Disc Golf Course,Valparaiso,Indiana,USA,,,4,state:Indiana,True,41.467255,-87.060449,,2026
Spoon Creek Disc Golf Course,Gardner,Kansas,USA,,,4,state:Kansas,True,38.810925,-94.927296,,2026
Windmill State Recreation Area,Gibbon,Nebraska,USA,,,4,state:Nebraska,True,40.708453,-98.838466,,2026
Wondervu Disc Golf Course,Golden,Colorado,USA,,,4,state:Colorado,True,39.754635,-105.22058,,2026
Champions Landing: Black,Emporia,Kansas,USA,,,5,state:Kansas,True,38.404005,-96.181623,,2026
Cottonmill,Kearney,Nebraska,USA,,,5,state:Nebraska,True,40.490622,-98.947234,,2026
Fox Prairie,McLeansboro,Illinois,USA,,,5,state:Illinois,True,38.093381,-88.535608,,2026
George Wilson Park Disc Golf Course,Mishawaka,Indiana,USA,,,5,state:Indiana,True,41.661164,-86.180703,,2026
North Bluff,Gladstone,Michigan,USA,,98,5,us;state:Michigan,True,45.860697,-87.038871,,2026
Northside DGC,Springfield,Missouri,USA,,,5,state:Missouri,True,37.208173,-93.292271,,2026
Twisted Cedars Dgc,Cokedale,Colorado,USA,,,5,state:Colorado,True,37.145297,-104.621099,,2026
Walnut Ridge Recreation Area,Johnston,Iowa,USA,,,5,state:Iowa,True,41.673152,-93.697339,,2026
Anna Page Park: West,Rockford,Illinois,USA,,,6,state:Illinois,True,42.271394,-89.093966,,2026
Bad Rock Creek & BRC Championship Course,Liberty,Missouri,USA,,,6,state:Missouri,True,39.246479,-94.419079,,2026
Cedar Grove,Sunman,Indiana,USA,,,6,state:Indiana,True,39.236997,-85.094681,,2026
Foxtail Farm,Tonganoxie,Kansas,USA,,,6,state:Kansas,True,39.109724,-95.087746,,2026
Glen Isle DGC,Bailey,Colorado,USA,,,6,state:Colorado,True,39.406466,-105.471701,,2026
Lake Hastings,Hastings,Nebraska,USA,,,6,state:Nebraska,True,40.612404,-98.38677,,2026
Meyer Broadway: North,Three Rivers,Michigan,USA,,,6,state:Michigan,True,41.944272,-85.634622,,2026
Sunnyside,Atlantic,Iowa,USA,,,6,state:Iowa,True,41.397187,-95.025415,,2026
Bald Mountain,Orion Charter Township,Michigan,USA,,,7,state:Michigan,True,42.731493,-83.220455,,2026
Fall Creek Disc Golf Course,Indianapolis,Indiana,USA,,,7,state:Indiana,True,39.768333,-86.15835,,2026
Hanna Hills Disc Golf Course,Laquey,Missouri,USA,,,7,state:Missouri,True,37.770319,-92.303502,,2026
Longview,Ozawkie,Kansas,USA,,,7,state:Kansas,True,39.233332,-95.466919,,2026
Prickly Pines Disc Golf Course,Elizabeth,Colorado,USA,,,7,state:Colorado,True,39.36676,-104.589719,,2026
Scott Whitcomb Memorial [Tierra Park],Lincoln,Nebraska,USA,,,7,state:Nebraska,True,40.808886,-96.707775,,2026
Southwoods Park Disc Golf Course,West Des Moines,Iowa,USA,,,7,state:Iowa,True,41.564448,-93.759406,,2026
The Oaks,Mokena,Illinois,USA,,,7,state:Illinois,True,41.524859,-87.90601,,2026
Arapahoe Basin DGC,Keystone,Colorado,USA,,,8,state:Colorado,True,39.596564,-105.934034,,2026
Brookwood Park,Waverly,Iowa,USA,,,8,state:Iowa,True,42.720671,-92.46244,,2026
Camden 2,Milan,Illinois,USA,,,8,state:Illinois,True,41.453089,-90.57208,,2026
Cedar Ridge,Bonner Springs,Kansas,USA,,,8,state:Kansas,True,39.059713,-94.88376,,2026
Green Lake DiscGolfPark,Interlochen,Michigan,USA,,,8,state:Michigan,True,44.64977,-85.767847,,2026
Lemon Lake County Park: Gold,Crown Point,Indiana,USA,,,8,state:Indiana,True,41.416981,-87.365314,,2026
Max E. Roper Interstate Park: West,Lincoln,Nebraska,USA,,,8,state:Nebraska,True,40.808886,-96.707775,,2026
Sunset Ridge,Grain Valley,Missouri,USA,,,8,state:Missouri,True,39.018765,-94.197645,,2026
Black Locust: South Green,Milford Charter Township,Michigan,USA,,,9,state:Michigan,True,42.565138,-83.618829,,2026
Fel-Pro RRR DiscGolfPark,Cary,Illinois,USA,,,9,state:Illinois,True,42.209116,-88.240021,,2026
Ghost Town,Central City,Colorado,USA,,,9,state:Colorado,True,39.801932,-105.514163,,2026
